codigo,aglo,estimacion,periodo,variable,value
3,Bahía Blanca - Cerri,6000,201403,desvio,1349
3,Bahía Blanca - Cerri,6000,201403,cv,22.5
3,Bahía Blanca - Cerri,7000,201403,desvio,1408
3,Bahía Blanca - Cerri,7000,201403,cv,20.1
3,Bahía Blanca - Cerri,8000,201403,desvio,1461
3,Bahía Blanca - Cerri,8000,201403,cv,18.3
3,Bahía Blanca - Cerri,9000,201403,desvio,1509
3,Bahía Blanca - Cerri,9000,201403,cv,16.8
3,Bahía Blanca - Cerri,10000,201403,desvio,1554
3,Bahía Blanca - Cerri,10000,201403,cv,15.5
3,Bahía Blanca - Cerri,11000,201403,desvio,1596
3,Bahía Blanca - Cerri,11000,201403,cv,14.5
3,Bahía Blanca - Cerri,12000,201403,desvio,1635
3,Bahía Blanca - Cerri,12000,201403,cv,13.6
3,Bahía Blanca - Cerri,14000,201403,desvio,1707
3,Bahía Blanca - Cerri,14000,201403,cv,12.2
3,Bahía Blanca - Cerri,16000,201403,desvio,1771
3,Bahía Blanca - Cerri,16000,201403,cv,11.1
3,Bahía Blanca - Cerri,18000,201403,desvio,1830
3,Bahía Blanca - Cerri,18000,201403,cv,10.2
3,Bahía Blanca - Cerri,20000,201403,desvio,1884
3,Bahía Blanca - Cerri,20000,201403,cv,9.4
3,Bahía Blanca - Cerri,24000,201403,desvio,1982
3,Bahía Blanca - Cerri,24000,201403,cv,8.3
3,Bahía Blanca - Cerri,28000,201403,desvio,2069
3,Bahía Blanca - Cerri,28000,201403,cv,7.4
3,Bahía Blanca - Cerri,32000,201403,desvio,2147
3,Bahía Blanca - Cerri,32000,201403,cv,6.7
3,Bahía Blanca - Cerri,36000,201403,desvio,2219
3,Bahía Blanca - Cerri,36000,201403,cv,6.2
3,Bahía Blanca - Cerri,44000,201403,desvio,2346
3,Bahía Blanca - Cerri,44000,201403,cv,5.3
3,Bahía Blanca - Cerri,52000,201403,desvio,2457
3,Bahía Blanca - Cerri,52000,201403,cv,4.7
3,Bahía Blanca - Cerri,60000,201403,desvio,2557
3,Bahía Blanca - Cerri,60000,201403,cv,4.3
3,Bahía Blanca - Cerri,72000,201403,desvio,2690
3,Bahía Blanca - Cerri,72000,201403,cv,3.7
3,Bahía Blanca - Cerri,84000,201403,desvio,2808
3,Bahía Blanca - Cerri,84000,201403,cv,3.3
3,Bahía Blanca - Cerri,96000,201403,desvio,2914
3,Bahía Blanca - Cerri,96000,201403,cv,3
3,Bahía Blanca - Cerri,108000,201403,desvio,3011
3,Bahía Blanca - Cerri,108000,201403,cv,2.8
3,Bahía Blanca - Cerri,120000,201403,desvio,3100
3,Bahía Blanca - Cerri,120000,201403,cv,2.6
3,Bahía Blanca - Cerri,132000,201403,desvio,3183
3,Bahía Blanca - Cerri,132000,201403,cv,2.4
