aglomerados,x,ds,cv
Total 31 aglomerados urbanos,12000,4178,34.8
Total 31 aglomerados urbanos,16000,4824,30.1
Total 31 aglomerados urbanos,20000,5393,27
Total 31 aglomerados urbanos,24000,5907,24.6
Total 31 aglomerados urbanos,28000,6380,22.8
Total 31 aglomerados urbanos,32000,6820,21.3
Total 31 aglomerados urbanos,36000,7233,20.1
Total 31 aglomerados urbanos,40000,7623,19.1
Total 31 aglomerados urbanos,44000,7995,18.2
Total 31 aglomerados urbanos,48000,8350,17.4
Total 31 aglomerados urbanos,52000,8690,16.7
Total 31 aglomerados urbanos,56000,9017,16.1
Total 31 aglomerados urbanos,60000,9333,15.6
Total 31 aglomerados urbanos,70000,10079,14.4
Total 31 aglomerados urbanos,80000,10772,13.5
Total 31 aglomerados urbanos,100000,12039,12
Total 31 aglomerados urbanos,120000,13183,11
Total 31 aglomerados urbanos,140000,14233,10.2
Total 31 aglomerados urbanos,200000,16991,8.5
Total 31 aglomerados urbanos,250000,18978,7.6
Total 31 aglomerados urbanos,300000,20768,6.9
Total 31 aglomerados urbanos,400000,23932,6
Total 31 aglomerados urbanos,500000,26702,5.3
Total 31 aglomerados urbanos,600000,29191,4.9
Total 31 aglomerados urbanos,800000,33568,4.2
Aglomerado Gran Buenos Aires ,16000,6119,38.2
Aglomerado Gran Buenos Aires ,20000,6840,34.2
Aglomerado Gran Buenos Aires ,24000,7492,31.2
Aglomerado Gran Buenos Aires ,28000,8091,28.9
Aglomerado Gran Buenos Aires ,32000,8649,27
Aglomerado Gran Buenos Aires ,36000,9172,25.5
Aglomerado Gran Buenos Aires ,40000,9666,24.2
Aglomerado Gran Buenos Aires ,44000,10137,23
Aglomerado Gran Buenos Aires ,48000,10586,22.1
Aglomerado Gran Buenos Aires ,52000,11016,21.2
Aglomerado Gran Buenos Aires ,56000,11430,20.4
Aglomerado Gran Buenos Aires ,60000,11830,19.7
Aglomerado Gran Buenos Aires ,70000,12773,18.2
Aglomerado Gran Buenos Aires ,80000,13649,17.1
Aglomerado Gran Buenos Aires ,100000,15249,15.2
Aglomerado Gran Buenos Aires ,120000,16691,13.9
Aglomerado Gran Buenos Aires ,140000,18015,12.9
Aglomerado Gran Buenos Aires ,200000,21482,10.7
Aglomerado Gran Buenos Aires ,250000,23970,9.6
Aglomerado Gran Buenos Aires ,300000,26207,8.7
Aglomerado Gran Buenos Aires ,400000,30142,7.5
Aglomerado Gran Buenos Aires ,500000,33567,6.7
Aglomerado Gran Buenos Aires ,600000,36624,6.1
Aglomerado Gran Buenos Aires ,800000,41949,5.2
Aglomerado Gran Buenos Aires ,1000000,46516,4.7
Aglomerado Gran Buenos Aires ,1500000,55777,3.7
Aglomerado Gran Buenos Aires ,2000000,62998,3.1
Aglomerado Gran Buenos Aires ,2500000,68823,2.8
Aglomerado Gran La Plata ,12000,3910,32.6
Aglomerado Gran La Plata ,16000,4502,28.1
Aglomerado Gran La Plata ,20000,5020,25.1
Aglomerado Gran La Plata ,24000,5484,22.8
Aglomerado Gran La Plata ,28000,5907,21.1
Aglomerado Gran La Plata ,32000,6297,19.7
Aglomerado Gran La Plata ,36000,6660,18.5
Aglomerado Gran La Plata ,40000,7001,17.5
Aglomerado Gran La Plata ,44000,7322,16.6
Aglomerado Gran La Plata ,48000,7625,15.9
Aglomerado Gran La Plata ,52000,7914,15.2
Aglomerado Gran La Plata ,56000,8189,14.6
Aglomerado Gran La Plata ,60000,8452,14.1
Aglomerado Gran La Plata ,70000,9062,12.9
Aglomerado Gran La Plata ,80000,9616,12
Aglomerado Gran La Plata ,100000,10588,10.6
Aglomerado Gran La Plata ,120000,11418,9.5
Aglomerado Gran La Plata ,140000,12134,8.7
Aglomerado Gran La Plata ,200000,13766,6.9
Aglomerado Gran La Plata ,250000,14669,5.9
Aglomerado Gran La Plata ,300000,15237,5.1
Aglomerado Gran La Plata ,400000,15495,3.9
Aglomerado Gran La Plata ,500000,14606,2.9
Aglomerado Gran La Plata ,600000,12322,2.1
Aglomerado Bahía Blanca – Cerri ,4000,1512,37.8
Aglomerado Bahía Blanca – Cerri ,6000,1845,30.8
Aglomerado Bahía Blanca – Cerri ,8000,2124,26.5
Aglomerado Bahía Blanca – Cerri ,12000,2584,21.5
Aglomerado Bahía Blanca – Cerri ,16000,2963,18.5
Aglomerado Bahía Blanca – Cerri ,20000,3291,16.5
Aglomerado Bahía Blanca – Cerri ,24000,3580,14.9
Aglomerado Bahía Blanca – Cerri ,28000,3840,13.7
Aglomerado Bahía Blanca – Cerri ,32000,4075,12.7
Aglomerado Bahía Blanca – Cerri ,36000,4292,11.9
Aglomerado Bahía Blanca – Cerri ,40000,4491,11.2
Aglomerado Bahía Blanca – Cerri ,44000,4675,10.6
Aglomerado Bahía Blanca – Cerri ,48000,4846,10.1
Aglomerado Bahía Blanca – Cerri ,52000,5005,9.6
Aglomerado Bahía Blanca – Cerri ,56000,5154,9.2
Aglomerado Bahía Blanca – Cerri ,60000,5292,8.8
Aglomerado Bahía Blanca – Cerri ,70000,5601,8
Aglomerado Bahía Blanca – Cerri ,80000,5862,7.3
Aglomerado Bahía Blanca – Cerri ,100000,6263,6.3
Aglomerado Bahía Blanca – Cerri ,120000,6527,5.4
Aglomerado Bahía Blanca – Cerri ,140000,6669,4.8
Aglomerado Bahía Blanca – Cerri ,200000,6416,3.2
Aglomerado Gran Santa Fe ,4000,1334,33.4
Aglomerado Gran Santa Fe ,6000,1631,27.2
Aglomerado Gran Santa Fe ,8000,1879,23.5
Aglomerado Gran Santa Fe ,12000,2293,19.1
Aglomerado Gran Santa Fe ,16000,2637,16.5
Aglomerado Gran Santa Fe ,20000,2936,14.7
Aglomerado Gran Santa Fe ,24000,3203,13.3
Aglomerado Gran Santa Fe ,28000,3445,12.3
Aglomerado Gran Santa Fe ,32000,3667,11.5
Aglomerado Gran Santa Fe ,36000,3873,10.8
Aglomerado Gran Santa Fe ,40000,4066,10.2
Aglomerado Gran Santa Fe ,44000,4246,9.6
Aglomerado Gran Santa Fe ,48000,4415,9.2
Aglomerado Gran Santa Fe ,52000,4575,8.8
Aglomerado Gran Santa Fe ,56000,4727,8.4
Aglomerado Gran Santa Fe ,60000,4871,8.1
Aglomerado Gran Santa Fe ,70000,5202,7.4
Aglomerado Gran Santa Fe ,80000,5498,6.9
Aglomerado Gran Santa Fe ,100000,6001,6
Aglomerado Gran Santa Fe ,120000,6410,5.3
Aglomerado Gran Santa Fe ,140000,6742,4.8
Aglomerado Gran Santa Fe ,200000,7369,3.7
Aglomerado Gran Santa Fe ,250000,7538,3
Aglomerado Gran Santa Fe ,300000,7409,2.5
Aglomerado Gran Rosario ,6000,2172,36.2
Aglomerado Gran Rosario ,8000,2506,31.3
Aglomerado Gran Rosario ,12000,3064,25.5
Aglomerado Gran Rosario ,16000,3533,22.1
Aglomerado Gran Rosario ,20000,3943,19.7
Aglomerado Gran Rosario ,24000,4313,18
Aglomerado Gran Rosario ,28000,4651,16.6
Aglomerado Gran Rosario ,32000,4964,15.5
Aglomerado Gran Rosario ,36000,5256,14.6
Aglomerado Gran Rosario ,40000,5531,13.8
Aglomerado Gran Rosario ,44000,5792,13.2
